TOWNAME,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,POINT_X,POINT_Y,lon,lat
Adwampong,YES,NA,151,173.65,Bosumtwe,Ashanti,NA,No,NA,NA,657199.0788,720989.2394,6.520729698,-1.578297499
Adweeho,YES,NA,4538,5218.7,Mampong Municipal,Ashanti,NA,No,NA,NA,675317.1946,780261.8948,7.056217499,-1.412723099
Adwinase (Edwinase),YES,NA,526,604.9,Bosumtwe,Ashanti,NA,No,NA,NA,670516.3981,726401.0264,6.569313798,-1.457734499
Adwiratia,YES,NA,3080,3542,Kwabre,Ashanti,NA,No,NA,NA,659725.3989,756275.2239,6.839762599,-1.554517899
Adwumakase,YES,NA,6050,6957.5,Kwabre,Ashanti,NA,No,NA,NA,662137.3774,750620.51,6.788560698,-1.532850299
Adwumakase-Kese,YES,NA,5007,5758.05,Kwabre,Ashanti,NA,No,NA,NA,655199.5963,753810.5408,6.817594999,-1.595531998
Adwumam,YES,NA,1615,1857.25,Bosumtwe,Ashanti,NA,No,NA,NA,658616.2046,721769.9161,6.527753299,-1.5654637
Adwuman,YES,UWE,573,658.95,Amansie West,Ashanti,NA,No,NA,NA,631476.568,705553.1331,6.381724399,-1.811219
Adzenkye,YES,NA,294,338.1,Atwima Mponua,Ashanti,NA,No,NA,NA,578313.7181,714367.6882,6.462341199,-2.2917617
Afantia,YES,NA,222,255.3,Atwima Kwanwoma,Ashanti,NA,No,NA,NA,646726.5779,730891.7705,6.610543099,-1.672755299
Afari,YES,NA,2248,2585.2,Atwima Nwabiagya,Ashanti,NA,No,NA,NA,634167.4946,740423.673,6.697040098,-1.786131199
Afasiebon,YES,NA,1830,2104.5,Kumasi Metropolitan,Ashanti,NA,No,NA,NA,645510.2729,737335.594,6.668848299,-1.6836008
Afedie,YES,NA,1358,1561.7,Amansie West,Ashanti,NA,No,NA,NA,619214.1474,701787.0919,6.347905999,-1.922149999
Afiaso,YES,NA,906,1041.9,Bosome Freho,Ashanti,NA,No,NA,NA,689751.4711,678313.6623,6.133936099,-1.285249799
Afoako,YES,NA,2357,2710.55,Amansie Central,Ashanti,NA,No,NA,NA,650527.0988,705753.7361,6.383112399,-1.638994599
Afodakrom,YES,CWE,356,409.4,Asante Akim South,Ashanti,FEEDER ROAD,No,2018,NA,694467.1213,709289.8122,6.413882606,-1.241709998
Aframanso,YES,NA,3794,4363.1,Sekyere South,Ashanti,NA,No,NA,NA,664674.4126,768618.4305,6.951244698,-1.5093916
Aframso,YES,NA,1998,2297.7,Sekyere Central,Ashanti,NA,No,NA,NA,708160.3304,790729.8403,7.149752698,-1.115085199
Afrancho,YES,NA,11688,13441.2,Offinso North,Ashanti,NA,No,NA,NA,613733.2491,819260.5013,7.410499498,-1.9694106
