Name.1,Community,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,X-Coord,Y-Coord,lon,lat
NORTHERN,Kabaldo,NO,NA,251,288.65,Mion,Northern,NA,No,NA,NA,818403.2135,1064384.026,9.616724598,-9.93E-02
NORTHERN,Dzatakpo (Bosomfour Kope),NO,NA,377,433.55,Kpandai,Northern,Lakeside,No,NA,NA,769696.0515,901821.6917,8.151121109,-0.552458897
NORTHERN,Kabeyiliyar,NO,NA,175,201.25,Zabzugu,Northern,NA,No,NA,NA,858826.3468,1024989.769,9.257705097,0.265266804
NORTHERN,Kabonbu,NO,NA,99,113.85,Saboba,Northern,NA,No,NA,NA,846300.458,1083887.764,9.790635347,0.156289528
NORTHERN,Gbenjaga,NO,NA,349,401.35,Karaga,Northern,NA,No,NA,NA,805657.5463,1126137.059,10.17554822,-0.210569359
NORTHERN,Dohiya (Prunaya),NO,NA,441,507.15,Nanumba North,Northern,NA,No,NA,NA,843816.7384,1007538.08,9.101309395,0.127441804
NORTHERN,Ellinyani (Kobuyani),NO,NA,369,424.35,Nanumba North,Northern,NA,No,NA,NA,820729.5439,973015.789,8.791200197,-8.49E-02
NORTHERN,Gbetogu,NO,NA,213,244.95,Karaga,Northern,NA,No,NA,NA,773270.8252,1098922.742,9.932027035,-0.507811627
NORTHERN,Kachie,NO,NA,194,223.1,Saboba,Northern,NA,No,NA,NA,863776.3188,1073206.127,9.692668601,0.314437505
NORTHERN,Flakuma,NO,NA,456,524.4,Nanumba North,Northern,NA,No,NA,NA,805761.128,951921.2532,8.601648797,-0.222198498
NORTHERN,Kakpanjag,NO,NA,407,468.05,Tatale Sangule,Northern,NA,No,NA,NA,864885.7375,1044291.249,9.431483895,0.321996604
NORTHERN,Kalahiyili,NO,NA,54,62.1,Tolon,Northern,NA,No,NA,NA,704318.6876,1047181.432,9.468378113,-1.138959502
NORTHERN,Kalakpi,NO,NA,235,270.25,Nanumba South,Northern,NA,No,NA,NA,852797.0716,989560.0688,8.938243237,0.207606967
NORTHERN,Kalani,NO,NA,271,311.65,Zabzugu,Northern,NA,No,NA,NA,875878.8052,982367.1254,8.871424396,0.416612404
NORTHERN,Gbambaya (Gbembiya),NO,NA,184,211.6,Nanumba North,Northern,NA,No,NA,NA,828945.6936,1020791.757,9.222160311,-6.70E-03
NORTHERN,Kalipando,NO,NA,259,297.85,Yendi Municipal,Northern,FOOTPATH,No,NA,NA,850716.7484,1037299.816,9.369539392,0.192560568
NORTHERN,Kambo,NO,NA,187,215.05,Nanumba South,Northern,NA,No,NA,NA,847541.8083,979430.8106,8.847172997,0.159091804
NORTHERN,Gbambaya (Gbembiya),NO,NA,63,72.45,Nanumba North,Northern,FEEDER ROAD,No,NA,NA,831899.097,1022335.189,9.235876542,0.020271973
NORTHERN,Kambondo,NO,NA,191,219.65,Mion,Northern,NA,No,NA,NA,821447.4525,1066341.195,9.634169596,-7.14E-02
NORTHERN,Gbingbon,NO,NA,136,156.4,Karaga,Northern,NA,No,NA,NA,802913.4904,1122125.883,10.13952409,-0.235902798
NORTHERN,Kamonayili,NO,NA,289,332.35,Mion,Northern,NA,No,NA,NA,826414.6015,1057306.313,9.552174595,-0.026894796
NORTHERN,Kanando,NO,NA,199,228.85,Zabzugu,Northern,NA,No,NA,NA,871461.9874,1036188.254,9.357751701,0.381086405
NORTHERN,Kanbonayili,NO,NA,686,788.9,Tolon,Northern,NA,No,NA,NA,714355.9653,1039270.364,9.396368396,-1.047972798
NORTHERN,Kanbonayili No.1,NO,NA,140,161,Gushiegu,Northern,NA,No,NA,NA,810835.0713,1094902.848,9.892990699,-0.165815598
NORTHERN,Kanbonayili No.2,NO,NA,221,254.15,Gushiegu,Northern,NA,No,NA,NA,814229.5619,1095187.766,9.895302197,-0.134868998
NORTHERN,Kangbado,NO,NA,271,311.65,Tatale Sangule,Northern,NA,No,NA,NA,873867.8578,1047104.942,9.456107293,0.403923205
NORTHERN,Kangbayili,NO,NA,179,205.85,Tatale Sangule,Northern,NA,No,NA,NA,872498.7366,1048678.266,9.470433282,0.391612367
NORTHERN,Gbangu Kura,NO,NA,560,644,Nanumba North,Northern,NA,No,NA,NA,799146.8337,955465.0163,8.634095797,-0.282012798
NORTHERN,Kanjoyili (Wagayili),NO,NA,14,16.1,Zabzugu,Northern,NA,No,NA,NA,858674.3238,1024492.504,9.253227293,0.263843504
NORTHERN,Kanshegu,NO,NA,171,196.65,Gushiegu,Northern,NA,No,NA,NA,802686.7136,1096508.18,9.908111297,-0.239930498
NORTHERN,Kantanbuguri (Katangbugli),NO,NA,152,174.8,Gushiegu,Northern,FEEDER ROAD,No,NA,NA,815913.0983,1111852.899,10.04570861,-0.118208719
NORTHERN,Kanudo,NO,NA,452,519.8,Mion,Northern,NA,No,NA,NA,816360.8966,1047770.803,9.466807901,-0.119108097
NORTHERN,Ghanaya,NO,NA,304,349.6,Nanumba North,Northern,NA,No,NA,NA,798589.3516,981587.6738,8.870149897,-0.285362997
NORTHERN,Kasalin No.2,NO,NA,420,483,Mion,Northern,NA,No,NA,NA,823637.2729,1030679.419,9.311873494,-5.42E-02
